timestamp_query,distance_query,angle_query,timestamp_gallery,distance_gallery,angle_gallery
1604045631.73603,269.4217529296875,40.88728713989258,1604045631.706174,271,41.9952392578125
1604045632.847586,269.9922180175781,41.519500732421875,1604045632.879132,272,42.4896240234375
1604045633.917819,269.8988342285156,41.239723205566406,1604045633.866986,272,42.2259521484375
1604045635.015694,270.2088317871094,41.52509689331055,1604045635.060971,273,42.4346923828125
1604045636.019753,270.3045349121094,41.45613098144531,1604045636.073615,273,42.38525390625
1604045637.119198,270.4102783203125,41.19585418701172,1604045637.087422,273,42.242431640625
1604045638.158217,270.81097412109375,41.163536071777344,1604045638.096858,273,42.16552734375
1604045639.215729,270.84326171875,41.05448532104492,1604045639.273584,274,42.0391845703125
1604045640.217922,271.2135009765625,40.766700744628906,1604045640.258072,274,41.7974853515625
1604045641.218299,271.3459167480469,40.805503845214844,1604045641.272131,273,41.8194580078125
1604045642.31778,271.7935791015625,41.08863067626953,1604045642.276065,274,42.099609375
1604045643.417844,272.0879821777344,40.91651153564453,1604045643.462996,274,41.781005859375
1604045644.417949,271.8935852050781,40.35425567626953,1604045644.462225,274,41.407470703125
1604045645.429643,272.124267578125,40.73366165161133,1604045645.457926,275,41.868896484375
1604045646.515547,272.6742248535156,41.379634857177734,1604045646.458507,275,42.4017333984375
1604045647.560232,272.7023620605469,41.482791900634766,1604045647.499808,274,42.5555419921875
1604045648.617421,273.2500915527344,41.731224060058594,1604045648.658151,276,42.7313232421875
1604045649.633768,273.1614074707031,41.797691345214844,1604045649.702163,276,42.923583984375
1604045650.724027,273.65283203125,42.36595153808594,1604045650.659711,276,43.3905029296875
1604045651.727883,273.78173828125,42.61394500732422,1604045651.661579,277,43.6871337890625
1604045652.730784,274.1476135253906,42.84894561767578,1604045652.65793,277,43.92333984375
1604045653.748872,274.5454406738281,43.208778381347656,1604045653.671844,277,44.2034912109375
1604045654.815068,274.81109619140625,43.40859603881836,1604045654.878469,277,44.417724609375
1604045655.83119,274.9546813964844,43.53969955444336,1604045655.868482,277,44.6484375
1604045656.872094,275.2740173339844,44.05299758911133,1604045656.868406,278,45.15380859375
1604045657.92177,275.3946228027344,44.51059341430664,1604045657.858315,278,45.450439453125
1604045659.119605,276.03680419921875,44.232967376708984,1604045659.059594,278,45.17578125
1604045660.122007,275.9339904785156,43.91523742675781,1604045660.075158,278,44.945068359375
1604045661.217921,276.54541015625,43.92710876464844,1604045661.2602,278,45.054931640625
1604045662.22196,276.65753173828125,44.04698181152344,1604045662.270658,279,45.0933837890625
1604045663.334903,276.9384460449219,43.603912353515625,1604045663.259879,279,44.615478515625
1604045664.427674,276.78546142578125,42.75493621826172,1604045664.463914,280,43.6212158203125
1604045665.53205,276.7014465332031,41.727317810058594,1604045665.461436,280,42.71484375
1604045666.617408,277.1882629394531,40.2792854309082,1604045666.673781,279,41.0174560546875
1604045667.625393,276.585205078125,38.608516693115234,1604045667.679183,279,39.298095703125
1604045668.753036,276.2463684082031,35.82215118408203,1604045668.65836,279,36.837158203125
1604045669.832176,275.9315490722656,32.704872131347656,1604045669.864235,279,33.28857421875
1604045670.964709,274.7281799316406,29.150667190551758,1604045670.943457,279,30.311279296875
1604045672.020079,274.20892333984375,25.691207885742188,1604045672.058947,277,26.3726806640625
1604045673.023715,272.9189453125,22.009262084960938,1604045673.078558,277,22.708740234375
1604045674.130679,271.823486328125,18.088022232055664,1604045674.106839,275,19.083251953125
1604045675.238985,271.0732116699219,14.204917907714844,1604045675.389822,275,14.622802734375
1604045676.334761,269.247314453125,9.973938941955566,1604045676.292314,273,11.1016845703125
1604045677.336545,268.14971923828125,6.590764999389648,1604045677.281403,272,7.998046875
1604045678.418729,267.0301208496094,3.748228073120117,1604045678.489421,271,4.669189453125
1604045679.445595,265.6495666503906,1.475909948348999,1604045679.469729,270,2.48291015625
1604045680.51534,263.85797119140625,-0.7791699767112732,1604045680.474817,268,0.5877685546875
1604045681.517013,262.62310791015625,-2.331099033355713,1604045681.472484,266,-0.933837890625
1604045682.518294,260.7721862792969,-3.26178240776062,1604045682.473519,265,-1.900634765625
1604045683.519938,259.24188232421875,-3.4611361026763916,1604045683.473133,263,-2.076416015625
